Data.Precipitation,Date.Full,Month,Day,Year,Station.City,Station.Code,Station.Location,Station.State,Temp,Data.Wind.Direction,Data.Wind.Speed
0,03-01-2016,1,3,2016,Birmingham,BHM,"Birmingham, AL",Alabama,39,33,4.33
0,03-01-2016,1,3,2016,Huntsville,HSV,"Huntsville, AL",Alabama,39,32,3.86
0.16,03-01-2016,1,3,2016,Mobile,MOB,"Mobile, AL",Alabama,46,35,9.73
0,03-01-2016,1,3,2016,Montgomery,MGM,"Montgomery, AL",Alabama,45,32,6.86
0.01,03-01-2016,1,3,2016,Anchorage,ANC,"Anchorage, AK",Alaska,34,19,7.8
0.09,03-01-2016,1,3,2016,Annette,ANN,"Annette, AK",Alaska,38,9,8.7
0.05,03-01-2016,1,3,2016,Bethel,BET,"Bethel, AK",Alaska,30,9,16.46
0.15,03-01-2016,1,3,2016,Bettles,BTT,"Bettles, AK",Alaska,22,2,3.1
0.6,03-01-2016,1,3,2016,Cold Bay,CDB,"Cold Bay, AK",Alaska,34,20,9.1
2.15,03-01-2016,1,3,2016,Cordova,CDV,"Cordova, AK",Alaska,38,9,9.76
0,03-01-2016,1,3,2016,Delta Junction/Ft Greely,BIG,"Delta Junction/Ft Greely, AK",Alaska,31,14,17.9
0,03-01-2016,1,3,2016,Fairbanks,FAI,"Fairbanks, AK",Alaska,14,2,2.2
0.02,03-01-2016,1,3,2016,Gulkana,GKN,"Gulkana, AK",Alaska,27,14,8.23
1.22,03-01-2016,1,3,2016,Homer,HOM,"Homer, AK",Alaska,39,9,11.26
0,03-01-2016,1,3,2016,Iliamna,ILI,"Iliamna, AK",Alaska,40,9,19.76
0.7,03-01-2016,1,3,2016,Juneau,JNU,"Juneau, AK",Alaska,36,10,9.23
0.14,03-01-2016,1,3,2016,Kenai,ENA,"Kenai, AK",Alaska,34,6,11.2
0.17,03-01-2016,1,3,2016,Ketchikan,KTN,"Ketchikan, AK",Alaska,37,15,6.16
0.05,03-01-2016,1,3,2016,King Salmon,AKN,"King Salmon, AK",Alaska,39,10,18.83
1.3,03-01-2016,1,3,2016,Kodiak,ADQ,"Kodiak, AK",Alaska,40,11,21.8
0.1,03-01-2016,1,3,2016,Kotzebue,OTZ,"Kotzebue, AK",Alaska,27,11,11.76
0.01,03-01-2016,1,3,2016,Mc Grath,MCG,"Mc Grath, AK",Alaska,30,15,3.7
0.08,03-01-2016,1,3,2016,Nome,OME,"Nome, AK",Alaska,29,6,12.86
0,03-01-2016,1,3,2016,Northway,ORT,"Northway, AK",Alaska,0,20,0.36
0.4,03-01-2016,1,3,2016,Palmer,PAQ,"Palmer, AK",Alaska,37,8,10.5
0,03-01-2016,1,3,2016,Petersburg,PSG,"Petersburg, AK",Alaska,60,18,1.83
0,03-01-2016,1,3,2016,Puntilla Lake,PTI,"Puntilla Lake, AK",Alaska,60,0,0
0,03-01-2016,1,3,2016,Shemya,SYA,"Shemya, AK",Alaska,60,0,0
0.37,03-01-2016,1,3,2016,Sitka,SIT,"Sitka, AK",Alaska,43,19,11.26
0.55,03-01-2016,1,3,2016,Skagway,SGY,"Skagway, AK",Alaska,38,14,5.2
0.15,03-01-2016,1,3,2016,St Paul Island,SNP,"St Paul Island, AK",Alaska,32,22,9.03
0.04,03-01-2016,1,3,2016,Talkeetna,TKA,"Talkeetna, AK",Alaska,32,2,4.93
0,03-01-2016,1,3,2016,Tanana,TAL,"Tanana, AK",Alaska,21,8,3.83
0.05,03-01-2016,1,3,2016,Utqiagvik (Barrow),BRW,"Utqiagvik (Barrow), AK",Alaska,6,6,13.76
2.42,03-01-2016,1,3,2016,Yakutat,YAK,"Yakutat, AK",Alaska,36,11,5.93
0,03-01-2016,1,3,2016,Douglas Bisbee,DUG,"Douglas Bisbee, AZ",Arizona,41,6,4.2
0,03-01-2016,1,3,2016,Kingman,IGM,"Kingman, AZ",Arizona,40,4,4.2
0,03-01-2016,1,3,2016,Phoenix,PHX,"Phoenix, AZ",Arizona,58,13,5.8
0,03-01-2016,1,3,2016,Tucson,TUS,"Tucson, AZ",Arizona,56,12,12.93
0,03-01-2016,1,3,2016,Winslow,INW,"Winslow, AZ",Arizona,29,27,2.7
0,03-01-2016,1,3,2016,Fort Smith,FSM,"Fort Smith, AR",Arkansas,39,27,5.16
0,03-01-2016,1,3,2016,Harrison,HRO,"Harrison, AR",Arkansas,38,29,7.4
0,03-01-2016,1,3,2016,North Little Rock,LZK,"North Little Rock, AR",Arkansas,42,0,0
0,03-01-2016,1,3,2016,Bakersfield,BFL,"Bakersfield, CA",California,47,34,2.2
0,03-01-2016,1,3,2016,Bishop,BIH,"Bishop, CA",California,27,32,3.06
0,03-01-2016,1,3,2016,China Lake,NID,"China Lake, CA",California,35,21,1.56
0,03-01-2016,1,3,2016,Concord,CCR,"Concord, CA",California,44,6,4.06
0.06,03-01-2016,1,3,2016,Eureka,EKA,"Eureka, CA",California,44,0,0
0,03-01-2016,1,3,2016,Fresno,FAT,"Fresno, CA",California,46,25,0.86
0,03-01-2016,1,3,2016,Hayward,HWD,"Hayward, CA",California,47,6,6.56
0,03-01-2016,1,3,2016,Long Beach,LGB,"Long Beach, CA",California,54,24,2.13
0,03-01-2016,1,3,2016,Los Angeles,LAX,"Los Angeles, CA",California,55,15,2.76
0,03-01-2016,1,3,2016,Red Bluff,RBL,"Red Bluff, CA",California,44,33,7.73
0,03-01-2016,1,3,2016,Redding,RDD,"Redding, CA",California,45,34,6.16
0,03-01-2016,1,3,2016,Sacramento,SAC,"Sacramento, CA",California,44,34,3.63
0,03-01-2016,1,3,2016,Salinas,SNS,"Salinas, CA",California,49,8,6.46
0,03-01-2016,1,3,2016,San Diego,SAN,"San Diego, CA",California,55,24,1.83
0.04,03-01-2016,1,3,2016,San Francisco,SFO,"San Francisco, CA",California,46,10,4.43
0,03-01-2016,1,3,2016,Sandberg,SDB,"Sandberg, CA",California,39,8,18.8
0,03-01-2016,1,3,2016,Santa Barbara,SBA,"Santa Barbara, CA",California,51,12,4.9
0,03-01-2016,1,3,2016,Santa Maria,SMX,"Santa Maria, CA",California,51,21,3.86
0,03-01-2016,1,3,2016,Stockton,SCK,"Stockton, CA",California,42,26,1.86
0,03-01-2016,1,3,2016,Alamosa,ALS,"Alamosa, CO",Colorado,14,32,1.4
0,03-01-2016,1,3,2016,Colorado Springs,COS,"Colorado Springs, CO",Colorado,28,15,3.13
0,03-01-2016,1,3,2016,Craig,CAG,"Craig, CO",Colorado,-10,12,0.4
0,03-01-2016,1,3,2016,Denver,DEN,"Denver, CO",Colorado,27,20,7.2
0,03-01-2016,1,3,2016,Grand Junction,GJT,"Grand Junction, CO",Colorado,14,8,4.46
0,03-01-2016,1,3,2016,Pueblo,PUB,"Pueblo, CO",Colorado,26,27,1.93
0,03-01-2016,1,3,2016,Bridgeport,BDR,"Bridgeport, CT",Connecticut,38,27,8.86
0,03-01-2016,1,3,2016,Windsor Locks,BDL,"Windsor Locks, CT",Connecticut,34,24,6.2
0,03-01-2016,1,3,2016,Newark,NWK,"Newark, DE",DE,37,28,6.43
0,03-01-2016,1,3,2016,Wilmington,ILG,"Wilmington, DE",Delaware,37,28,6.43
0.75,03-01-2016,1,3,2016,Daytona Beach,DAB,"Daytona Beach, FL",Florida,63,32,6.23
0.49,03-01-2016,1,3,2016,Fort Lauderdale,FLL,"Fort Lauderdale, FL",Florida,76,28,5.16
0.62,03-01-2016,1,3,2016,Gainesville,GNV,"Gainesville, FL",Florida,56,33,4.6
0.49,03-01-2016,1,3,2016,Jacksonville,JAX,"Jacksonville, FL",Florida,56,31,4.83
0.5,03-01-2016,1,3,2016,Key West,EYW,"Key West, FL",Florida,79,17,4.53
1.13,03-01-2016,1,3,2016,Miami,MIA,"Miami, FL",Florida,76,17,3.33
0.14,03-01-2016,1,3,2016,Orlando,MCO,"Orlando, FL",Florida,65,31,6.93
0.12,03-01-2016,1,3,2016,Pensacola,PNS,"Pensacola, FL",Florida,48,35,9.33
0.46,03-01-2016,1,3,2016,Tallahassee,TLH,"Tallahassee, FL",Florida,53,34,6.16
0.18,03-01-2016,1,3,2016,Tampa,TPA,"Tampa, FL",Florida,66,8,5.73
0.97,03-01-2016,1,3,2016,Vero Beach,VRB,"Vero Beach, FL",Florida,69,28,6.9
0.24,03-01-2016,1,3,2016,West Palm Beach,PBI,"West Palm Beach, FL",Florida,74,27,6.83
0.66,03-01-2016,1,3,2016,Alma,AMG,"Alma, GA",Georgia,51,32,5.06
0,03-01-2016,1,3,2016,Athens,AHN,"Athens, GA",Georgia,45,29,5.1
0,03-01-2016,1,3,2016,Atlanta,ATL,"Atlanta, GA",Georgia,42,31,10.93
0,03-01-2016,1,3,2016,Augusta,AGS,"Augusta, GA",Georgia,48,31,3.06
0.01,03-01-2016,1,3,2016,Macon,MCN,"Macon, GA",Georgia,47,31,5.46
0.41,03-01-2016,1,3,2016,Savannah,SAV,"Savannah, GA",Georgia,56,31,5
0.11,03-01-2016,1,3,2016,Hilo,ITO,"Hilo, HI",Hawaii,73,20,3.33
0,03-01-2016,1,3,2016,Honolulu,HNL,"Honolulu, HI",Hawaii,73,24,5.13
0.04,03-01-2016,1,3,2016,Kahului,OGG,"Kahului, HI",Hawaii,71,3,8.4
0.04,03-01-2016,1,3,2016,Kaunakakai,MKK,"Kaunakakai, HI",Hawaii,72,14,8.86
0,03-01-2016,1,3,2016,Lihue,LIH,"Lihue, HI",Hawaii,70,23,6.06
0,03-01-2016,1,3,2016,Boise,BOI,"Boise, ID",Idaho,15,16,3
0,03-01-2016,1,3,2016,Lewiston,LWS,"Lewiston, ID",Idaho,21,9,2.56
0,03-01-2016,1,3,2016,Pocatello,PIH,"Pocatello, ID",Idaho,8,2,2.66
0,03-01-2016,1,3,2016,Chicago,ORD,"Chicago, IL",Illinois,25,28,12.16
0,03-01-2016,1,3,2016,Moline,MLI,"Moline, IL",Illinois,25,28,10.9
0,03-01-2016,1,3,2016,Peoria,PIA,"Peoria, IL",Illinois,29,28,8.2
0,03-01-2016,1,3,2016,Quincy,UIN,"Quincy, IL",Illinois,29,28,10.53
0,03-01-2016,1,3,2016,Rockford,RFD,"Rockford, IL",Illinois,24,28,9.73
0,03-01-2016,1,3,2016,Springfield,SPI,"Springfield, IL",Illinois,31,27,9.96
0,03-01-2016,1,3,2016,Evansville,EVV,"Evansville, IN",Indiana,35,27,6.06
0,03-01-2016,1,3,2016,Fort Wayne,FWA,"Fort Wayne, IN",Indiana,29,26,13.2
0,03-01-2016,1,3,2016,Indianapolis,IND,"Indianapolis, IN",Indiana,29,26,10.73
0.03,03-01-2016,1,3,2016,South Bend,SBN,"South Bend, IN",Indiana,27,26,11.83
0,03-01-2016,1,3,2016,Cedar Rapids,CID,"Cedar Rapids, IA",Iowa,22,28,11.46
0,03-01-2016,1,3,2016,Des Moines,DSM,"Des Moines, IA",Iowa,24,30,10
0,03-01-2016,1,3,2016,Dubuque,DBQ,"Dubuque, IA",Iowa,21,28,11.86
0,03-01-2016,1,3,2016,Sioux City,SUX,"Sioux City, IA",Iowa,21,30,8.63
0,03-01-2016,1,3,2016,Waterloo,ALO,"Waterloo, IA",Iowa,22,28,11.06
0,03-01-2016,1,3,2016,Concordia,CNK,"Concordia, KS",Kansas,31,29,8.96
0,03-01-2016,1,3,2016,Dodge City,DDC,"Dodge City, KS",Kansas,31,31,8.36
0,03-01-2016,1,3,2016,Goodland,GLD,"Goodland, KS",Kansas,30,28,8.1
0,03-01-2016,1,3,2016,Medicine Lodge,P28,"Medicine Lodge, KS",Kansas,34,32,4.9
0,03-01-2016,1,3,2016,Topeka,TOP,"Topeka, KS",Kansas,32,29,5.96
0,03-01-2016,1,3,2016,Wichita,ICT,"Wichita, KS",Kansas,33,29,5.96
0,03-01-2016,1,3,2016,Covington,CVG,"Covington, KY",Kentucky,33,26,7.73
0,03-01-2016,1,3,2016,Jackson,JKL,"Jackson, KY",Kentucky,37,24,2.93
0,03-01-2016,1,3,2016,Lexington,LEX,"Lexington, KY",Kentucky,35,25,7.93
0,03-01-2016,1,3,2016,Louisville,SDF,"Louisville, KY",Kentucky,38,27,6.7
0,03-01-2016,1,3,2016,Paducah,PAH,"Paducah, KY",Kentucky,36,27,5.6
0.09,03-01-2016,1,3,2016,Baton Rouge,BTR,"Baton Rouge, LA",Louisiana,47,23,3.43
0.08,03-01-2016,1,3,2016,Lake Charles,LCH,"Lake Charles, LA",Louisiana,47,12,8.33
0.59,03-01-2016,1,3,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,50,13,11.93
0,03-01-2016,1,3,2016,Shreveport,SHV,"Shreveport, LA",Louisiana,46,21,5.36
0.22,03-01-2016,1,3,2016,Slidell,ASD,"Slidell, LA",Louisiana,47,23,6.66
0,03-01-2016,1,3,2016,Bangor,BGR,"Bangor, ME",Maine,29,24,4.6
0.1,03-01-2016,1,3,2016,Caribou,CAR,"Caribou, ME",Maine,23,25,5.66
0.01,03-01-2016,1,3,2016,Portland,PWM,"Portland, ME",Maine,34,24,7.53
0,03-01-2016,1,3,2016,Baltimore,BWI,"Baltimore, MD",Maryland,37,27,5.36
0,03-01-2016,1,3,2016,Salisbury,SBY,"Salisbury, MD",Maryland,38,27,3.46
0,03-01-2016,1,3,2016,Boston,BOS,"Boston, MA",Massachusetts,37,25,11.83
0,03-01-2016,1,3,2016,Milton,MQE,"Milton, MA",Massachusetts,60,25,11.6
